outcome,likelihood,interactions,coach_id,coach_name,effect,posterior_sd,seasons,rank_high,rank_low
rating_overall,gaussian,False,1,Steve Addazio,-0.03331664213505838,0.22416346446092314,1,158,65
rating_overall,gaussian,False,5,Tom Allen,-0.06001243501428037,0.20395238293312667,3,180,43
rating_overall,gaussian,False,10,Blake Anderson,-0.022759230568283727,0.19449042494445443,3,137,86
rating_overall,gaussian,False,14,Major Applewhite,-0.005878338692096307,0.21877416984246031,2,116,107
rating_overall,gaussian,False,18,Dino Babers,0.027536607776243345,0.1973467026644978,3,71,152
rating_overall,gaussian,False,36,Bret Bielema,0.03184928387384238,0.1997681263350865,5,63,160
rating_overall,gaussian,False,44,Craig Bohl,-0.03263518941489482,0.2090876315555052,3,156,67
rating_overall,gaussian,False,47,Terry Bowden,-0.00516613510213228,0.2040022102900821,3,115,108
rating_overall,gaussian,False,50,Brent Brennan,-0.05177226065853917,0.19792748156002724,5,173,50
rating_overall,gaussian,False,53,Jeff Brohm,0.11414947569380886,0.23080157857096006,5,12,211
rating_overall,gaussian,False,57,Mack Brown,-0.061557867508122005,0.21132668831897553,4,181,42
rating_overall,gaussian,False,58,Neal Brown,0.021056335774784083,0.20834440267929502,4,79,144
rating_overall,gaussian,False,68,Troy Calhoun,0.10906580087129832,0.2291175201824552,4,17,206
rating_overall,gaussian,False,70,Matt Campbell,-1.2315371580991433e-05,0.1963811588548726,5,105,118
rating_overall,gaussian,False,71,Jason Candle,0.04026531205799129,0.200761481706543,5,51,172
rating_overall,gaussian,False,72,Rod Carey,-0.029350704931303376,0.22900995185091683,1,152,71
rating_overall,gaussian,False,81,Jamey Chadwell,-0.01585802345636103,0.20145890365368532,5,127,96
rating_overall,gaussian,False,82,Paul Chryst,0.05390423753589357,0.22935399817491084,1,40,183
rating_overall,gaussian,False,84,Bill Clark,-0.0017081325872051246,0.21878483869416807,1,109,114
rating_overall,gaussian,False,85,Dave Clawson,-0.08761228701827686,0.22011000660313437,4,208,15
rating_overall,gaussian,False,90,Geoff Collins,-0.07101158888658496,0.2286723690356093,1,196,27
rating_overall,gaussian,False,98,Chris Creighton,-0.07676345307274615,0.21434699232748727,5,199,24
rating_overall,gaussian,False,111,David Cutcliffe,-0.05567126824447398,0.2265397106837167,1,177,46
rating_overall,gaussian,False,115,Butch Davis,-0.18372874715813933,0.30997996960828794,1,222,1
rating_overall,gaussian,False,130,Dave Doeren,0.02938057492632643,0.19204466141461304,5,67,156
rating_overall,gaussian,False,151,Shawn Elliott,-0.018014618538958072,0.2046017266224985,3,131,92
rating_overall,gaussian,False,162,Kirk Ferentz,-0.01514894632011545,0.19793617862434987,5,125,98
rating_overall,gaussian,False,164,Luke Fickell,-0.02542769817861588,0.20403072666684918,5,145,78
rating_overall,gaussian,False,165,Jedd Fisch,0.030611832560178548,0.1932459264967096,5,64,159
rating_overall,gaussian,False,166,Jimbo Fisher,-0.011643806545581774,0.20429765129153127,3,120,103
rating_overall,gaussian,False,167,Pat Fitzgerald,-0.0838883796323315,0.2386737561736403,2,206,17
rating_overall,gaussian,False,168,P.J. Fleck,0.033277245808104004,0.19495465698551648,5,60,163
rating_overall,gaussian,False,172,James Franklin,0.1404866545749345,0.25304083892986684,4,5,218
rating_overall,gaussian,False,174,Willie Fritz,-0.019692212070267973,0.19670525713543865,5,133,90
rating_overall,gaussian,False,176,Scott Frost,-0.020245694620373754,0.21047757136253328,2,135,88
rating_overall,gaussian,False,178,Justin Fuente,-0.05035554292187724,0.22825356901717583,1,171,52
rating_overall,gaussian,False,184,Todd Graham,-0.023069935010714995,0.21618574239749452,1,140,83
rating_overall,gaussian,False,190,Mike Gundy,0.010946679988695836,0.19892571743686388,4,91,132
rating_overall,gaussian,False,195,Jim Harbaugh,0.1597687671904082,0.2683187341930405,3,3,220
rating_overall,gaussian,False,202,Bryan Harsin,-0.0037597650394363322,0.20978244700914558,2,114,109
rating_overall,gaussian,False,210,Clay Helton,0.012070370929622482,0.19820812611609825,4,89,134
rating_overall,gaussian,False,212,Tom Herman,-0.029241113430002883,0.21858145874501556,2,149,74
